Valuation ($B),Country,Industry,Investor 1,Investor 2,Investor 3,Investor 4,Days Since Joined
2.3,45,8,437,557,101,9,1421
2.3,45,14,514,258,217,9,1178
2.3,3,12,499,418,496,9,1113
2.27,46,8,239,617,210,9,979
2.25,45,3,486,16,483,9,2114
2.25,45,12,14,44,510,9,1114
2.25,45,12,312,28,104,9,1044
2.2,45,8,211,386,210,9,856
2.2,17,14,226,0,0,9,2366
2.2,37,6,459,0,0,9,1739
2.2,45,8,189,456,195,9,1206
2.2,28,8,401,456,122,9,1198
2.2,45,12,226,526,45,9,1891
2.2,45,12,42,258,467,9,1409
2.2,8,15,180,489,558,9,912
2.2,45,1,68,521,330,9,904
2.2,45,3,226,105,581,9,1156
2.19,8,13,587,614,282,9,1773
2.19,44,14,164,41,162,9,946
2.18,8,1,327,72,428,9,1475
2.17,8,1,460,82,0,9,2352
2.17,45,8,7,159,519,9,1157
2.17,45,8,7,384,547,9,1333
2.0,45,5,183,426,134,9,1155
2.15,5,8,411,601,143,9,1072
2.15,19,8,414,148,297,9,1101
2.1,19,6,483,486,569,9,1651
2.1,45,12,210,311,217,9,1388
2.1,19,6,547,19,164,9,1206
2.1,45,8,267,77,515,9,1197
2.1,45,1,329,501,311,9,1142
2.1,45,10,221,501,512,9,1024
2.1,44,8,14,437,60,9,919
2.1,17,15,118,415,222,9,1151
2.1,45,8,517,114,119,9,885
2.0,18,8,172,64,2,9,813
2.0,18,3,315,0,0,9,4567
2.0,45,1,429,575,46,9,4259
2.0,8,6,460,376,8,9,3447
2.0,16,2,16,303,278,9,3256
2.0,8,6,588,235,594,9,2901
2.0,45,12,579,375,67,9,2673
1.0,44,14,42,526,535,9,2653
2.0,24,1,529,389,176,9,2282
2.0,45,9,409,162,198,9,2206
2.0,8,1,460,133,63,9,2066
2.0,45,12,281,555,502,9,2017
2.0,45,4,280,554,286,9,1968
2.0,8,16,426,123,216,9,1911
2.0,45,5,379,564,469,9,1883
2.0,8,12,220,295,331,9,1756
2.0,45,13,337,442,433,9,1668
2.0,8,12,76,233,369,9,1549
2.0,45,5,559,170,59,9,1451
2.0,8,6,344,186,252,9,1421
2.0,45,8,84,640,600,9,1409
2.0,45,10,112,423,573,9,1352
2.0,45,15,85,0,0,9,1337
2.0,22,8,294,316,277,9,1271
2.0,8,3,525,110,584,9,1247
2.0,6,8,254,420,166,9,1213
2.0,45,1,528,74,217,9,1212
2.0,39,10,273,155,15,9,1206
2.0,45,12,350,576,504,9,1199
2.7,45,8,459,258,15,9,1192
2.1,44,8,14,643,308,9,952
2.0,8,12,344,506,219,9,1192
2.0,45,8,593,365,185,9,1184
2.0,45,12,110,99,273,9,1157
2.0,29,8,539,0,0,9,1154
2.0,28,8,34,245,497,9,1162
2.0,5,15,427,527,0,9,1898
2.0,45,12,280,576,230,9,1122
2.0,26,14,8,481,0,9,1991
2.0,8,1,517,11,470,9,1100
2.0,45,8,42,120,466,9,1098
2.0,45,14,542,558,37,9,1542
2.0,30,8,460,535,440,9,1088
2.0,45,12,272,217,98,9,1072
2.0,24,13,292,252,45,9,1837
2.0,45,15,14,158,233,9,1212
2.0,45,10,439,625,435,9,1064
2.0,8,1,381,630,203,9,1058
2.0,45,8,74,42,432,9,1044
2.0,45,9,390,463,37,9,3586
2.0,17,16,382,622,389,9,1025
2.0,45,5,329,38,30,9,1022
2.0,32,8,280,617,48,9,1018
2.0,45,12,301,384,37,9,1619
2.0,44,8,224,606,612,9,1009
2.0,45,1,132,608,400,9,1164
8.0,22,4,459,435,403,9,1002
2.0,45,12,42,334,155,9,1002
2.0,45,10,307,262,197,9,997
2.0,45,12,483,378,0,9,997
2.0,35,0,260,104,141,9,1851
2.0,16,9,99,315,4,9,941
2.0,45,5,329,470,388,9,1317
2.0,20,6,151,295,480,9,912
2.0,45,12,85,90,0,9,912
2.0,12,8,452,265,495,9,1130
2.25,19,7,427,19,100,9,1102
2.0,45,12,343,412,573,9,855
2.0,45,4,527,356,249,9,868
2.0,8,2,460,295,428,9,839
2.0,45,1,79,24,337,9,829
2.0,45,5,280,331,69,9,1024
2.0,10,2,415,313,497,9,806
2.0,8,9,563,609,591,9,2094
1.93,37,13,81,542,606,9,800
1.98,16,6,234,27,33,9,948
1.95,8,7,533,285,264,9,1285
1.95,45,12,494,553,547,9,973
1.9,45,12,203,576,262,9,2479
1.9,8,6,300,354,492,9,2022
1.9,45,8,412,441,125,9,1310
1.9,45,10,552,117,13,9,1304
1.9,19,8,527,507,446,9,1044
1.9,45,8,590,77,234,9,890
1.94,45,8,307,77,330,9,889
1.94,45,12,74,505,527,9,896
1.9,45,0,478,169,351,9,870
1.9,45,6,68,526,183,9,832
1.87,17,2,589,244,282,9,895
1.85,8,2,55,0,0,9,1949
1.83,37,11,455,17,617,9,730
1.85,45,8,519,116,0,9,1065
1.8,45,10,211,330,226,9,3283
1.8,45,14,196,205,572,9,1235
1.8,45,12,240,334,513,9,1107
1.8,22,1,559,307,118,1,1842
1.8,45,9,453,330,323,9,1057
1.8,19,8,248,101,145,9,991
1.79,45,10,216,52,366,9,1024
1.78,8,2,295,508,202,9,2313
1.75,6,4,90,46,52,9,1165
1.75,19,6,227,188,47,9,995
1.75,45,12,68,221,596,9,847
1.8,45,4,580,470,207,9,1241
1.73,8,13,434,459,109,9,3499
1.7,45,1,558,236,73,9,792
1.7,45,3,524,576,534,9,2372
1.7,45,3,511,249,547,9,2124
1.7,45,10,33,465,158,9,1261
1.7,45,10,398,552,139,9,982
1.7,45,12,326,497,81,9,857
1.7,44,7,329,258,217,9,799
1.7,45,12,459,595,461,9,779
1.69,45,10,35,526,23,9,849
1.6,45,10,280,505,273,9,1248
1.7,45,12,523,83,244,9,1192
1.7,33,8,497,221,405,9,1073
1.7,16,6,188,297,60,9,1263
1.7,45,4,160,195,27,9,1022
1.7,45,5,148,1,463,9,1015
1.7,45,1,379,582,133,9,1012
1.7,45,8,245,348,215,9,1010
1.7,27,6,236,10,393,9,1130
1.7,45,12,273,334,69,9,925
1.7,45,8,483,20,136,9,911
1.65,45,12,402,290,37,9,882
1.65,45,12,390,49,374,9,729
1.62,8,5,97,166,264,9,2229
1.62,45,10,33,246,296,9,947
1.7,19,6,32,377,547,9,931
1.61,8,12,149,295,0,9,3348
1.65,17,8,581,488,588,9,1129
1.6,45,5,148,386,330,9,1177
1.6,45,9,508,255,0,9,3396
1.6,4,1,218,0,0,9,2680
1.6,8,2,406,639,0,9,2402
1.6,45,4,593,209,469,9,1660
2.6,45,12,459,77,614,9,1261
1.6,45,6,348,509,316,9,1233
1.6,6,12,388,552,533,9,1206
1.6,1,12,83,304,547,9,1200
1.6,45,1,220,19,439,9,814
1.6,45,0,42,266,469,9,882
1.36,45,8,241,386,406,9,1185
1.36,45,10,36,394,0,9,1001
1.5,31,5,513,19,22,9,1184
